shareHolderCode,shareHolderName,stocks,avg_1_Week_Return,avg_1_Month_Return,avg_3_Month_Return,avg_6_Month_Return,avg_1_Year_Return,count_1_Week_Return,count_1_Month_Return,count_3_Month_Return,count_6_Month_Return,count_1_Year_Return
51256,شخص حقیقی,شبصیر,0.027690814348148882,0.017532977625406843,-0.2231510982058142,-0.31474903154636397,-0.7202645323858919,9,9,9,6,6
54787,شرکت واسط مالی خرداد-بامسئولیت محدود-,شبصیر,,,,,,2,2,2,2,2
60719,صندوق سرمایه گذاری یاقوت آگاه,شبصیر,0.035849111108255886,0.006077271692667633,0.34337187639834277,0.41545840352512803,0.5225754353177992,7,7,7,7,7
62523,شرکت گروه سرمایه گذاری تدبیر-سهامی خاص-,شبصیر,,,,,,1,1,1,1,1
70677,شرکت گروه سرمایه گذاری تدبیر-سهامی عام-,شبصیر,,,,,,1,1,1,1,1
42717,شرکت صادرفر-سهامی خاص-,زاگرس,-0.012554683072895076,0.025336864390165123,-0.026697107366537118,-0.04836524022584018,-0.07395357823417875,16,16,16,16,16
48172,شرکت صنعت مرواریدارم-سهامی خاص-,زاگرس,,,,,,1,1,1,1,1
21630,شرکت گروه توسعه مالی مهرآیندگان-سهامی عام-,بکهنوج,,,,,,2,2,2,2,2
22123,شخص حقیقی,بکهنوج,-0.048768151436106966,0.2511993056916094,0.7649607125128227,-0.9488664195793404,-0.9657922261820714,12,12,12,12,12
42287,شخص حقیقی,بکهنوج,0.009361730381011426,0.018549042308747155,0.057887212246778876,-0.1580169508350993,-0.07052057858453795,14,14,13,10,9
44894,شرکت گسترش انرژی پاسارگاد,بکهنوج,-0.015941431012977587,-0.0646555115452621,-0.07331999074903645,0.1130759613321962,0.23942485159008772,9,9,9,9,9
51402,bfmصندوق سرمایه گذاری.ا.ب.اکسیرسودا,بکهنوج,0.0063561698544442186,0.01817865775572582,0.035235705187797846,0.09435466972594307,0.19969137468239298,226,225,212,185,121
60500,bfmصندوق سرمایه گذاری.ا.بازارگردانی معیار,بکهنوج,0.008703065276077825,0.01494333256314058,0.06349121909991141,0.16216186264533444,0.1444544333289325,191,189,183,120,63
70106,شخص حقیقی,بکهنوج,-0.05423085038389561,-0.005469636255798972,-0.16129899575440396,-0.09615858295335045,-0.02124236585836587,21,21,21,21,21
2832,شخص حقیقی,خاهن,,,,,,3,3,3,3,3
21624,شرکت توسعه وتامین شریف-سهامی خاص-,خاهن,,,,,,2,2,2,2,2
42564,شخص حقیقی,خاهن,-0.00832229675459395,-0.23145486142035085,-0.4367804096669789,-0.38937266046010305,-0.3943910890797197,15,15,15,15,15
50595,شرکت گروه صنعتی اشتالزفولادخاورمیانه-س.خ-,خاهن,-0.04356296799238896,-0.11145515772046576,-0.24232065593354707,0.019010478485002202,-0.1193323778949674,25,25,25,22,22
51025,شرکت تدبیرفردای نیک-سهامی خاص-,خاهن,-0.039922797023260806,-0.06606116590752192,0.09124127681401364,0.004472282468562032,-0.005666111774401001,21,21,21,21,21
77068,prxسبد-شرک14514--شرک14909-,خاهن,-2.4120879095756997e-06,-0.033694555581942655,,,,10,5,0,0,0
77073,prxسبد-شرک14514--شرک14909-,خاهن,,,,,,1,0,0,0,0
77074,prxسبد-شرک14514--شرک14909-,خاهن,-0.024079234262287544,-0.030109186048396575,,,,9,4,0,0,0
7543,شخص حقیقی,ولقمان,,,,,,3,3,3,3,3
7606,شرکت طرح سازه تنیان-سهامی خاص-,ولقمان,,,,,,1,1,1,0,0
7616,شرکت فرازعمران آریانا-سهامی خاص-,ولقمان,0.022227815477095243,-0.12350281164459459,-0.2337228124657411,-0.3827513369526946,,16,16,15,10,0
7780,شرکت سرمایه گذاری میراث فرهنگی وگردشگری ایران-,ولقمان,-0.03824682578169126,-0.021171799599310967,0.2338696383962263,0.6071869868608432,0.6395340797831492,25,25,24,24,23
10077,شخص حقیقی,ولقمان,0.07586178380952069,0.14166287871606442,-0.1893117906455577,-0.10872840155266666,0.02199928418137953,6,6,6,6,6
22655,شرکت توسعه امیدافق گردشگری-سهامی خاص-,ولقمان,-0.05702412766392709,-0.027322654866012708,,,,4,4,2,2,0
41703,شرکت تجارت بین المللی دل عالم ایرانیان-سهامی خا,ولقمان,0.0007539014817745553,0.019488146949297083,-0.012619576386747799,-0.4240317930179119,,21,21,19,5,1
41704,شرکت گردشگری سفرخوش کام-سهامی خاص-,ولقمان,-0.02904896383951884,-0.19097591742369424,-0.2669741618685432,-0.07576980667910531,-0.342081905139575,15,14,12,12,12
42407,شرکت جاویدگستررازیان-سهامی خاص-,ولقمان,-0.0007442921946356762,-0.3847133558723915,-0.08890514657143482,-0.14608745693797362,-0.11267975212109764,5,5,5,5,5
44245,شرکت توسعه مجتمع های خدماتی رفاهی پارس زیگوارت-,ولقمان,-0.045676936877886966,-0.12155524204713956,0.005852107622817081,0.5778344690321677,0.438891047735588,21,21,21,21,21
44246,شرکت توسعه خدمات ساختمانی پارس کیمیا-سهامی خاص,ولقمان,,,,,,1,1,1,1,1
44475,شرکت اقتصادی نگین گردشگری ایرانیان-سهامی عام-,ولقمان,,,,,,1,1,1,1,1
44566,ifmصندوق.س.ا.بازارگردانی گروه گردشگری ایران,ولقمان,-0.012684947147804826,-0.05834571238789811,-0.12990835683181884,,,20,20,9,1,1
45599,شخص حقیقی,ولقمان,,,,,,3,3,3,3,3
46044,شرکت تجارت بین الملل میلادآریازیگورات-سهامی خ,ولقمان,-0.05137363681692182,-0.1820065050913216,-0.09554564668372278,0.15563690826099275,,5,5,4,4,2
46045,شرکت تجارت بین الملل میلادپارس زیگورات-سهامی خ,ولقمان,-0.011912839816216936,-0.12095131500481422,0.03095629432859117,0.14877068670546661,0.30038292768516783,6,6,5,5,5
50717,شخص حقیقی,ولقمان,-0.02629671378331653,-0.1776312292985604,-0.13613828683299917,-0.2188235175025433,,5,5,5,5,0
51958,شخص حقیقی,ولقمان,,,,,,1,1,1,1,0
54948,شخص حقیقی,ولقمان,,,,,,1,1,0,0,0
55147,شخص حقیقی,ولقمان,,,,,,2,2,2,2,2
62617,شخص حقیقی,ولقمان,,,,,,1,1,1,1,1
70038,شرکت ویراویژن کیش-بامسئولیت محدود-,ولقمان,,,,,,1,1,1,1,1
70339,شخص حقیقی,ولقمان,,,,,,1,1,1,1,1
70340,شخص حقیقی,ولقمان,,,,,,1,1,1,1,1
